name;description;year;manufacturer;width;height;rotate
funcsino;Status Fun Casino (V1.3s);1981;Status Games;320;240;0
funcube;Funcube (v1.5);2000;Namco;320;240;0
funcube2;Funcube 2 (v1.1);2001;Namco;320;240;0
funcube3;Funcube 3 (v1.1);2001;Namco;320;240;0
funcube4;Funcube 4 (v1.0);2001;Namco;320;240;0
funcube5;Funcube 5 (v1.0);2002;Namco;320;240;0
funkball;Funky Ball;1998;dgPIX Entertainment Inc.;512;432;0
funkball;Funky Ball;1998;dgPIX Entertainment Inc.;512;432;0
funkybee;Funky Bee;1982;Orca;236;224;90
funkyfig;The First Funky Fighter (USA, Canada, Mexico / Japan, set 1);1993;Nakanihon / East Technology (Taito license);336;240;0
funkyjet;Funky Jet (World, rev 1);1992;Mitchell;320;240;0
funlddlx;Funny Land de Luxe;1999;Stella;384;280;0
funnyfm;Funny Farm (v1.17);2004;Kupidon;512;256;0
funquiz;Fun World Quiz (German);199?;Fun World;384;232;0
funquiza;Fun World Quiz (German, 12-11-1990);1990;Fun World;384;232;0
funquizb;Fun World Quiz (German, 27-04-1990);1990;Fun World;384;232;0
funriver;Fun River (Version 1.4R CGA);2005;Amcoe;512;288;0
funybubl;Funny Bubble;1999;In Chang Electronic Co;320;224;0
funystrp;Funny Strip;199?;Microhard / MagicGames;384;240;0
futari15;Mushihime-Sama Futari Ver 1.5 (2006/12/8.MASTER VER. 1.54.);2006;Cave (AMI license);320;240;270
futaribl;Mushihime-Sama Futari Black Label - Another Ver (2009/11/27 INTERNATIONAL BL);2007;Cave (AMI license);320;240;270
futflash;Future Flash;1980;Hoei;256;256;270
futspy;Future Spy (315-5061);1984;Sega;256;224;90
fuusenpn;Fuusen Pentai;1993;Konami;288;224;0
fvipers;Fighting Vipers (Revision D);1995;Sega;496;384;0
fvipers2;Fighting Vipers 2 (Revision A);1998;Sega;496;384;0
fvrpitch;Fever Pitch (2VXEC534, NSW);1986;Ainsworth Nominees P.L.;304;216;0
fw600;FontWriter FW-600;1994;Sharp;640;400;0
fw700ger;FontWriter FW-700 (German);1994;Sharp;640;400;0
fw_a0_1;unknown Fun World A0-1 game;1991;Fun World;384;232;0
fw_a7_11;unknown Fun World A7-11 game 1;1985;Fun World;384;232;0
g13jnc;Golgo 13: Juusei no Chinkonka (Japan, GLT1 VER.A);2001;Eighting / Raizing / Namco;640;480;0
g13knd;Golgo 13 Kiseki no Dandou (Japan, GLS1/VER.A);2000;Eighting / Raizing / Namco;640;480;0
g4u2;Games 4 U 2 (94 5.6-0);2002?;Novotech;640;480;0
g4u3;Games 4 U 3 (94 5.6-4);2002?;Novotech;640;480;0
g4u4;Games 4 U 4 (94 5.6-5);2002?;Novotech;640;480;0
g4u5;Games 4 U 5 (94 5.6-5);2002?;Novotech;640;480;0
g4u6;Games 4 U 6 (94 5.6-5);2002?;Novotech;640;480;0
g4u7;Games 4 U 7 (94 5.6-5a);2002?;Novotech;640;480;0
ga2;Golden Axe: The Revenge of Death Adder (World, Rev B);1992;Sega;416;224;0
gaia;Gaia Crusaders;1999;Noise Factory;320;224;0
gaialast;Gaia - The Last Choice of Earth;1999;SemiCom / XESS;308;224;0
gaiapols;Gaiapolis (ver EAF);1993;Konami;376;224;90
gakupara;Quiz Gakuen Paradise (Japan);1991;NMK;384;224;0
gakusai;Mahjong Gakuensai (Japan);1997;MakeSoft;320;240;0
gakusai2;Mahjong Gakuensai 2 (Japan);1998;MakeSoft;320;240;0
gal10ren;Mahjong Gal 10-renpatsu (Japan);1993;Fujic;640;240;0
gal3;Galaxian 3 - Theater 6 : Project Dragoon;1992;Namco;512;512;0
gal3;Galaxian 3 - Theater 6 : Project Dragoon;1992;Namco;512;512;0
galactic;Galactica - Batalha Espacial;1980?;Taito do Brasil;260;224;270
galaga;Galaga (Namco rev. B);1981;Namco;288;224;90
galaga88;Galaga '88;1987;Namco;288;224;270
galastrm;Galactic Storm (Japan);1992;Taito Corporation;320;232;0
galaxi;Galaxi (v2.0);2000;B.R.L.;400;240;0
galaxia;Galaxia (set 1);1979;Zaccaria / Zelco;240;240;90
galaxian;Galaxian (Namco set 1);1979;Namco;768;224;90
galaxy;Galaksija;1983;Voja Antonic / Elektronika inzenjering;384;208;0
galaxy2;Galaxy II (VFD Rev. D);1981;Epoch;304;1080;0
galaxygn;Galaxy Gunners;1989;Electronic Devices Italy;352;256;90
galaxyr;Galaxy Ranger;1983;Sega;704;480;0
galeb;Galeb;1981;PEL Varazdin;384;128;0
galeone;Il Galeone;2000;San Remo Games;320;200;0
galgame;Galaxy Game;1971;Computer Recreations, Inc;512;512;270
galgbios;Galaxy Games BIOS;1998;Creative Electronics & Software;400;256;0
galivan;Cosmo Police Galivan (12/26/1985);1985;Nichibutsu;256;224;270
galkaika;Mahjong Gal no Kaika (Japan);1989;Nichibutsu / T.R.Tec;640;240;180
galkoku;Mahjong Gal no Kokuhaku (Japan);1989;Nichibutsu / T.R.Tec;640;240;180
gallag50;Gallag Video Game / Petalouda (Butterfly, x50);199?;bootleg;512;256;0
galmedes;Galmedes (Japan);1992;Visco;320;240;270
galpani2;Gals Panic II (Asia);1993;Kaneko;320;240;90
galpani3;Gals Panic 3 (Euro);1995;Kaneko;320;240;90
galpanic;Gals Panic (Unprotected);1990;Kaneko;256;224;90
galsnew;Gals Panic (US, EXPRO-02 PCB);1990;Kaneko;256;224;90
galspnbl;Gals Pinball;1996;Comad;512;224;90
galxwars;Galaxy Wars (Universal set 1);1979;Universal;260;224;270
gamate;Gamate;1990;Bit Corp;160;150;0
gambl186;Multi Game (Versione 4.0.3 - 1.5.7, 05-FEV-99(397)) (V398?);1997;EGD;640;480;0
gameboy;Game Boy;1990;Nintendo;160;144;0
gamecom;Game.com;1997;Tiger;200;160;0
gamecstl;GameCristal;2002;Cristaltec;640;200;0
gamegear;Game Gear (Europe/America);1991;Sega;160;144;0
gamekin3;GameKing 3;2003;TimeTop;160;160;0
gameking;GameKing GM-218;2003;TimeTop;48;32;0
gamepock;Game Pocket Computer;1984;Epoch;75;64;0
gametngk;The Game Paradise - Master of Shooting! / Game Tengoku - The Game Paradise (ver 1.0);1995;Jaleco;320;224;270
gametree;Game Tree [TTL];1978;Project Support Engineering;455;262;0
gammagic;Game Magic;1999;Bally Gaming Co.;640;480;0
gamshara;Gamshara (World, 10021 Ver.A);2002;Mitchell;640;480;0
gamt1;Gaminator 1 (set 1);2002?;Novotech;640;480;0
gamt10;Gaminator 10 (set 1);2002?;Novotech;640;480;0
gamt11;Gaminator 11 (set 1);2002?;Novotech;640;480;0
gamt12;Gaminator 12 (set 1);2002?;Novotech;640;480;0
gamt16;Gaminator 16 (set 1);2002?;Novotech;640;480;0
gamt17;Gaminator 17 (set 1);2002?;Novotech;640;480;0
gamt18;Gaminator 18 (set 1);2002?;Novotech;640;480;0
gamt19;Gaminator 19 (set 1);2002?;Novotech;640;480;0
gamt20;Gaminator 20 (set 1);2002?;Novotech;640;480;0
gamt21;Gaminator 21 (set 1);2002?;Novotech;640;480;0
gamt22;Gaminator 22 (set 1);2002?;Novotech;640;480;0
gamt23;Gaminator 23 (set 1);2002?;Novotech;640;480;0
gamt29;Gaminator 29 (set 1);2002?;Novotech;640;480;0
gamt30;Gaminator 30 (set 1);2002?;Novotech;640;480;0
gamt31;Gaminator 31 (set 1);2002?;Novotech;640;480;0
gamt4;Gaminator 4 (set 1);2002?;Novotech;640;480;0
gamt5;Gaminator 5 (set 1);2002?;Novotech;640;480;0
gamt6;Gaminator 6 (set 1);2002?;Novotech;640;480;0
gamt7;Gaminator 7 (set 1);2002?;Novotech;640;480;0
gamt8;Gaminator 8 (set 1);2002?;Novotech;640;480;0
gamt9;Gaminator 9 (set 1);2002?;Novotech;640;480;0
ganbare;Ganbare! Marine Kun (Japan 2K0411);2000;Capcom;384;224;0
gangrose;Gangster's Roses (v4.70);2004;Kupidon;512;256;0
gangwars;Gang Wars;1989;Alpha Denshi Co.;256;224;0
ganjaja;Ganbare Jajamaru Saisho wa Goo / Ganbare Jajamaru Hop Step & Jump;1990;Jaleco;256;240;0
gaplus;Gaplus (GP2 rev. B);1984;Namco;288;224;90
garage_5;Garage (050311 World);2004;Igrosoft;640;480;0
gardia;Gardia (317-0006);1986;Coreland / Sega;512;224;270
garogun;Garogun Seroyang (Korea);2000;Yun Sung;320;240;0
garyoret;Garyo Retsuden (Japan);1987;Data East Corporation;256;240;0
gaunt2;Gauntlet II;1986;Atari Games;336;240;0
gauntdl;Gauntlet Dark Legacy (version DL 2.52);1999;Midway Games;640;480;0
gauntleg;Gauntlet Legends (version 1.6);1998;Atari Games;640;480;0
gauntlet;Gauntlet (rev 14);1985;Atari Games;336;240;0
gba;Game Boy Advance;2001;Nintendo;240;160;0
gbcolor;Game Boy Color;1998;Nintendo;160;144;0
gberet;Green Beret;1985;Konami;240;224;0
gbs5505x;Genius BrainStation 5505X (Germany);2001;Video Technology;120;18;0
gbusters;Gang Busters (set 1);1988;Konami;320;224;90
gchinatv;Golden China TV Game;198?;Golden China;256;240;0
gckong;Crazy Kong (Gakken);1982;Gakken;479;1080;0
gcpinbal;Grand Cross v1.02F;1994;Excellent System;320;224;270
gcslottv;Gachinko Contest! Slot machine TV (Japan);2002;Takara / Sammy / DCT / SSD Company LTD;256;224;0
gdfs;Mobile Suit Gundam Final Shooting (Japan);1995;Banpresto;338;240;0
gdigdug;Dig Dug (Gakken);1983;Gakken;476;1080;0
geebee;Gee Bee (Japan);1978;Namco;272;224;90
gegege;GeGeGe no Kitarou Youkai Slot;1997;Sigma / Banpresto;320;240;0
geimulti;GEI Multi Game;1992;Grayhound Electronics;416;224;0
gekiretu;Quiz Gekiretsu Scramble (Japan);1992;Face;384;224;0
gekiridn;Gekirindan (Ver 2.3O 1995/09/21);1995;Taito Corporation;320;232;270
gekisha;Mahjong Gekisha;1989;Dynax;254;240;180
gekisou;Gekisou (Japan);1985;Eastern Corp.;256;208;90
gemcrush;Gemcrush (Japan, prototype);1996;Star Fish;320;224;270
gemini;Gemini Wing (World);1987;Tecmo;256;224;90
gen32;Mephisto Genius 68030;1993;Hegener + Glaser;96;16;0
gen_nomd;Genesis Nomad (USA Genesis handheld);1995;Sega;256;224;0
genesis;Genesis (USA, NTSC);1989;Sega;256;224;0
geneve;Geneve 9640;1987;Myarc;543;465;0
genie;Genie (ICP-1, set 1);198?;Video Fun Games Ltd.;256;232;0
genius6;Genius 6 (V110F);1998;IGS;512;240;0
genix;Genix Family;1994;NIX;288;224;0
genmod;Geneve 9640 Mod;1990;Myarc / Ron G. Walters;543;465;0
genpeitd;Genpei ToumaDen;1986;Namco;288;224;0
gepoker;Poker (Version 50.02 ICB, set 1);1984;Greyhound Electronics;416;224;0
getrich;Get Rich (Version 1.0.1);200?;Amcoe;512;288;0
gfc1080;GFC-1080 (MSX1);198?;Goldstar;280;216;0
gfc1080a;GFC-1080A (MSX1);198?;Goldstar;280;216;0
gfire2;Golden Fire II;1992;Topis Corp;320;224;0
gfootbal;Gaelco Football;2002;Gaelco / Zigurat;640;480;0
gforce2;Galaxy Force 2;1988;Sega;320;224;0
ggconnie;Go! Go! Connie chan Jaka Jaka Janken;1996;Eighting;1088;242;0
gghost;Goalie Ghost;1984;Bally/Sente;256;240;0
gground;Gain Ground (World, 3 Players, Floppy Based, FD1094 317-0058-03d Rev A);1988;Sega;496;384;270
ghalien;Heiankyo Alien (Gakken);1980;Gakken;1920;699;0
ghlpanic;Ghoul Panic (World, OB2/VER.A);1999;Eighting / Raizing / Namco;640;480;0
ghoshunt;Ghost Hunter;1996;Hanaho Games;320;200;0
ghostb;The Real Ghostbusters (US 2 Players, revision 2);1987;Data East USA;256;240;0
ghouls;Ghouls'n Ghosts (World);1988;Capcom;384;224;0
ghox;Ghox (spinner);1991;Toaplan;320;240;270
gi_l9;Gilligan's Island (L-9);1991;Bally;128;32;0
giclasex;GI-Classic EX (satellite terminal);1998;Konami;600;384;0
giclassvr;GI-Classic EX (server);1998;Konami;100;100;0
gigandes;Gigandes;1989;East Technology;384;240;0
gigas;Gigas (MC-8123, 317-5002);1986;Sega;256;224;270
gigasm2;Gigas Mark II (MC-8123, 317-5002);1986;Sega;256;224;270
gigatron;Gigatron TTL Microcomputer;2018;Marcel van Kervinck;640;480;0
gigawing;Giga Wing (USA 990222);1999;Takumi (Capcom license);384;224;0
gijoe;G.I. Joe (World, EAB, set 1);1992;Konami;288;224;0
gimeabrk;Gimme A Break (7/7/85);1985;Bally/Sente;256;240;0
gimix;Gimix 6809 System;1980;Gimix;640;240;0
ginganin;Ginga NinkyouDen (set 1);1987;Jaleco;256;224;0
ginkun;Ganbare Ginkun;1995;Tecmo;256;224;0
ginv;Invader (Gakken, cyan version);1980;Gakken;236;1080;0
ginv1000;Galaxy Invader 1000;1981;Gakken;226;1080;0
ginv2000;Invader 2000;1982;Gakken;364;1080;0
gionbana;Gionbana (Japan 890120);1989;Nichibutsu;512;240;0
girotutt;GiroTutto;2000;High Video;400;300;0
gizmondo;Gizmondo;2005;Tiger Telematics;320;240;0
gjspace;Gekitoride-Jong Space (10011 Ver.A);2001;Namco / Metro;640;480;0
gjungler;Jungler (Gakken);1982;Gakken / Konami;481;1080;0
gkigt4;Game King (v4.x);2003;IGT;640;480;0
gkkey;Game King (Set Chips);2003;IGT;640;480;0
gl2000;Genius Leader 2000;1993;Video Technology;120;18;0
gl3000s;Genius Leader 3000S (Germany);1996;Video Technology;120;24;0
gl4000;Genius Leader 4000 Quadro (Germany);1994;Video Technology;120;36;0
gl4004;Genius Leader 4004 Quadro L (Germany);1996;Video Technology;120;36;0
gl5000;Genius Leader 5000 (Germany);1997;Video Technology;120;18;0
gl5005x;Genius Leader 5005X (Germany);1997;Video Technology;120;18;0
gl6000sl;Genius Leader 6000SL (Germany);1997;VTech;240;100;0
gl6600cx;Genius Leader 6600 CX (Germany);1999;VTech;512;256;0
gl7007sl;Genius Leader 7007SL (Germany);1998;VTech;240;100;0
gl8008cx;Genius Leader 8008 CX (Germany);1999;VTech;512;256;0
gladiatp;Gladiators;1993;Gottlieb;128;32;0
gladiatr;Gladiator (US);1986;Allumer / Taito America Corporation;256;224;0
glass;Glass (Ver 1.1, Break Edition, Checksum 49D5E66B, Version 1994);1994;OMK / Gaelco;368;240;0
glcolor;Genius Leader Color (Germany);1994;VTech;160;80;0
gldarrow;Golden Arrow (Standard G8-03);1984;Meyco Games, Inc.;256;224;0
gldncrwn;Golden Crown (Dutch, Game Card 95-752-011);1997;BFM/ELAM;400;280;0
gldneye;Goldeneye (4.04);1996;Sega;128;32;0
gldnpkr;Golden Poker (8VXEC037, New Zealand);1986;Ainsworth Nominees P.L.;304;216;0
glfgreat;Golfing Greats (World, version L);1991;Konami;288;224;0
glmcolor;Genius Leader Magic Color (Germany);1996;VTech;160;80;0
gloc;G-LOC Air Battle (World);1990;Sega;320;224;0
glpn;Genius Leader Power Notebook (Germany);1997;Video Technology;120;36;0
gluck2;Good Luck II;1992;Yung Yu / CYE;256;256;0
gmaster;Game Master;1990;Hartung;61;64;0
gmgalax;Ghostmuncher Galaxian (bootleg);1981;bootleg;768;224;90
gmissile;Guided Missile;1977;Midway;260;224;0
gmmc;Genius Master Mega Color (Germany);19??;VTech;240;100;0
gmtt;Genius Master Table Top (Germany);1998;Video Technology;120;36;0
gnbarich;Gunbarich;2001;Psikyo;320;224;270
gng;Ghosts'n Goblins (World? set 1);1985;Capcom;256;224;0
gnome_9;Gnome (100326 World);2007;Igrosoft;640;480;0
gnr_300;Guns N Roses (3.00);1994;Data East;128;32;0
gnw_ball;Game & Watch: Ball;1980;Nintendo;1671;1080;0
gnw_bfight;Game & Watch: Balloon Fight (Crystal Screen);1986;Nintendo;1771;1080;0
gnw_bjack;Game & Watch: Black Jack;1985;Nintendo;960;645;0
gnw_bjack;Game & Watch: Black Jack;1985;Nintendo;960;645;0
gnw_boxing;Micro Vs. System: Boxing;1984;Nintendo;1920;524;0
gnw_bsweep;Game & Watch: Bomb Sweeper;1987;Nintendo;960;645;0
gnw_bsweep;Game & Watch: Bomb Sweeper;1987;Nintendo;960;645;0
gnw_chef;Game & Watch: Chef;1981;Nintendo;1666;1080;0
gnw_climber;Game & Watch: Climber (Crystal Screen);1986;Nintendo;1756;1080;0
gnw_dkjr;Game & Watch: Donkey Kong Jr. (New Wide Screen);1982;Nintendo;1647;1080;0
gnw_dkjrp;Game & Watch: Donkey Kong Jr. (Panorama Screen);1983;Nintendo;1920;1049;0
gnw_dkong;Game & Watch: Donkey Kong;1982;Nintendo;960;633;0
gnw_dkong;Game & Watch: Donkey Kong;1982;Nintendo;960;633;0
gnw_dkong2;Game & Watch: Donkey Kong II;1983;Nintendo;960;620;0
gnw_dkong2;Game & Watch: Donkey Kong II;1983;Nintendo;960;620;0
gnw_fire;Game & Watch: Fire (Wide Screen);1981;Nintendo;1624;1080;0
gnw_fireatk;Game & Watch: Fire Attack;1982;Nintendo;1655;1080;0
gnw_fires;Game & Watch: Fire (Silver);1980;Nintendo;1646;1080;0
gnw_flagman;Game & Watch: Flagman;1980;Nintendo;1511;1080;0
gnw_gcliff;Game & Watch: Gold Cliff;1988;Nintendo;960;628;0
gnw_gcliff;Game & Watch: Gold Cliff;1988;Nintendo;960;628;0
gnw_ghouse;Game & Watch: Green House;1982;Nintendo;960;651;0
gnw_ghouse;Game & Watch: Green House;1982;Nintendo;960;651;0
gnw_helmet;Game & Watch: Helmet (CN-17 version);1981;Nintendo;1657;1080;0
gnw_judge;Game & Watch: Judge (green version);1980;Nintendo;1647;1080;0
gnw_lboat;Game & Watch: Life Boat;1983;Nintendo;1058;720;0
gnw_lboat;Game & Watch: Life Boat;1983;Nintendo;1058;720;0
gnw_lion;Game & Watch: Lion;1981;Nintendo;1646;1080;0
gnw_manhole;Game & Watch: Manhole (New Wide Screen);1983;Nintendo;1560;1080;0
gnw_manholeg;Game & Watch: Manhole (Gold);1981;Nintendo;1667;1080;0
gnw_mario;Game & Watch: Mario Bros.;1983;Nintendo;1129;720;0
gnw_mario;Game & Watch: Mario Bros.;1983;Nintendo;1129;720;0
gnw_mariocm;Game & Watch: Mario's Cement Factory (New Wide Screen);1983;Nintendo;1647;1080;0
gnw_mariocmt;Game & Watch: Mario's Cement Factory (Table Top);1983;Nintendo;1920;1046;0
gnw_mariotj;Game & Watch: Mario The Juggler;1991;Nintendo;1630;1080;0
gnw_mbaway;Game & Watch: Mario's Bombs Away;1983;Nintendo;1920;1031;0
gnw_mickdon;Game & Watch: Mickey & Donald;1982;Nintendo;960;640;0
gnw_mickdon;Game & Watch: Mickey & Donald;1982;Nintendo;960;640;0
gnw_mmouse;Game & Watch: Mickey Mouse (Wide Screen);1981;Nintendo;1684;1080;0
gnw_mmousep;Game & Watch: Mickey Mouse (Panorama Screen);1984;Nintendo;1920;1122;0
gnw_octopus;Game & Watch: Octopus;1981;Nintendo;1586;1080;0
gnw_opanic;Game & Watch: Oil Panic;1982;Nintendo;960;646;0
gnw_opanic;Game & Watch: Oil Panic;1982;Nintendo;960;646;0
gnw_pchute;Game & Watch: Parachute;1981;Nintendo;1602;1080;0
gnw_popeye;Game & Watch: Popeye (Wide Screen);1981;Nintendo;1604;1080;0
gnw_rshower;Game & Watch: Rain Shower;1983;Nintendo;1063;720;0
gnw_rshower;Game & Watch: Rain Shower;1983;Nintendo;1063;720;0
gnw_sbuster;Game & Watch: Safe Buster;1988;Nintendo;960;623;0
gnw_sbuster;Game & Watch: Safe Buster;1988;Nintendo;960;623;0
gnw_smb;Game & Watch: Super Mario Bros. (Crystal Screen);1986;Nintendo;1768;1080;0
gnw_squish;Game & Watch: Squish;1986;Nintendo;960;642;0
gnw_squish;Game & Watch: Squish;1986;Nintendo;960;642;0
gnw_ssparky;Game & Watch: Spitball Sparky;1984;Nintendo;627;1080;0
gnw_stennis;Game & Watch: Snoopy Tennis;1982;Nintendo;1581;1080;0
gnw_tbridge;Game & Watch: Turtle Bridge;1982;Nintendo;1587;1080;0
gnw_tfish;Game & Watch: Tropical Fish;1985;Nintendo;1572;1080;0
gnw_vermin;Game & Watch: Vermin;1980;Nintendo;1650;1080;0
gnw_zelda;Game & Watch: Zelda;1989;Nintendo;960;673;0
gnw_zelda;Game & Watch: Zelda;1989;Nintendo;960;673;0
go2000;Go 2000;2000;SunA?;384;224;0
goaltogo;Goal To Go;1983;Stern Electronics;704;480;0
godzilla;Godzilla (Japan);1993;Banpresto;320;224;0
godzillp;Godzilla (Pinball, 2.05);1998;Sega;128;32;0
gogomile;Susume! Mile Smile / Go Go! Mile Smile (newer);1995;Fuuki;320;240;0
gogostrk;Go Go Strike;2007;American Alpha / Paokai;640;480;0
goindol;Goindol (World);1987;SunA;256;224;90
goketsuj;Goketsuji Ichizoku: Matsuri Senzo Kuyou (v200906230);2009;Atlus;640;480;0
goldart;Goldart (Spain);1994;Covielsa / Gaelco;384;288;0
goldbug;Gold Bug;1982;Century Electronics;240;248;90
goldcity;Gold City (Russia) (Atronic);2002;Atronic;512;224;0
goldcue;Golden Cue;1998;Sega;128;32;0
goldenc;Golden Canaries (1VXFC5462, New Zealand);1996;Aristocrat;304;216;0
goldglen;Golden Glenn (Russia) (Atronic);2002;Atronic;512;224;0
goldmedl;Gold Medalist (set 1, Alpha68k II PCB);1988;SNK;256;224;0
goldnaxe;Golden Axe (set 6, US) (8751 317-123A);1989;Sega;320;224;0
goldnpkr;Golden Poker Double Up (Big Boy);1981;Bonanza Enterprises, Ltd;256;232;0
goldstar;Golden Star;199?;IGS;512;224;0
golgo13;Golgo 13 (Japan, GLG1/VER.A);1999;Eighting / Raizing / Namco;640;480;0
gollygho;Golly! Ghost!;1990;Namco;288;224;180
gomoku;Gomoku Narabe Renju;1981;Nichibutsu;256;224;90
gondo;Gondomania (World);1987;Data East Corporation;256;240;270
gonefsh2;Gone Fishing 2;200?;IGS;512;256;0
good;Good (Korea);1998;<unknown>;352;224;0
goodejan;Good E Jong -Kachinuki Mahjong Syoukin Oh!!- (set 1);1991;Seibu Kaihatsu (Tecmo license);256;224;0
goonies;Vs. The Goonies (set E);1986;Konami;256;240;0
gorf;Gorf;1981;Dave Nutting Associates / Midway;352;240;270
gorodki;Gorodki;1988;Terminal;256;256;0
gostop;Kankoku Hanafuda Go-Stop;2001;Visco;384;384;0
gotcha;Got-cha Mini Game Festival;1997;Dongsung / Para;320;240;0
goupilg1;Goupil G1;1979;SMT;512;192;0
goupilg2;Goupil G2;1981;SMT;640;288;0
gp2quiz;Gals Panic II - Quiz Version;1993;Kaneko;320;240;90
gp2se;Gals Panic II' - Special Edition (Japan);1994;Kaneko;320;240;90
gp2x;GP2X;2005;Game Park Holdings;320;240;0
gp32;GP32;2001;Game Park Holdings;240;320;270
gp98;Grand Prix '98 (V100K);1998;Romtec Co. Ltd;512;240;0
gpgolf;Golden Par Golf (Joystick, V1.1);1992;Strata/Incredible Technologies;256;240;0
gprider;GP Rider (World, FD1094 317-0163) (Twin setup);1990;Sega;320;224;0
gprider;GP Rider (World, FD1094 317-0163) (Twin setup);1990;Sega;320;224;0
gprnrs1;Game Prince RS-1;200?;<unknown>;256;240;0
gprnrs16;Game Prince RS-16;200?;<unknown>;256;240;0
gpworld;GP World;1984;Sega;704;480;0
gq863;Twinkle System;1999;Konami;640;480;0
gradius3;Gradius III (World, program code R);1989;Konami;320;224;0
gradius4;Gradius IV: Fukkatsu (ver JAC);1998;Konami;512;384;0
grainbow;SD Gundam Sangokushi Rainbow Tairiku Senki (Japan);1993;Banpresto;320;224;0
grancapi;Gran Capitan (Version 3);2000;High Video;400;300;0
grandprx;Grand Prix;200?;4fun;512;256;0
granfrat;Grande Fratello (Ver. 1.7);200?;<unknown>;512;256;0
granny;Granny and the Gators;1984;Bally;280;216;0
grasspin;Grasspin;1983;Zilec Electronics / Jaleco;256;224;270
gratia;Gratia - Second Earth (ver 1.0, 92047-01 version);1996;Jaleco;320;224;0
gravitar;Gravitar (version 3);1982;Atari;;;0
grchamp;Grand Champion (set 1);1981;Taito;256;224;270
grdian;Guardian (US);1986;Toaplan / Taito America Corporation (Kitkorp license);280;240;0
grdians;Guardians / Denjin Makai II (P-FG01-1 PCB);1995;Winkysoft (Banpresto license);304;232;0
grdnstrm;Guardian Storm (horizontal, not encrypted);1998;Afega (Apples Industries license);256;224;180
greatgun;Great Guns;1983;Stern Electronics;256;224;0
greenber;Green Beret (Irem);1980;Irem;256;224;270
grfd2301;Futuredata 2301 Network Processor;198?;Genrad;640;240;0
grid1101;Compass 1101;1982;GRiD Computers;320;240;0
grid1121;Compass II 1121;1984;GRiD Computers;320;240;0
gridiron;Gridiron Fight;1985;Tehkan;256;224;0
gridlee;Gridlee;1983;Videa;256;240;0
grindstm;Grind Stormer;1992;Toaplan;320;240;270
grmatch;Grudge Match (Yankee Game Technology);1989;Yankee Game Technology;400;240;0
grndtour;Grand Tour (V100U);1993;IGS;512;240;0
grobda;Grobda (New Ver.);1984;Namco;288;224;90
groundfx;Ground Effects / Super Ground Effects (Japan);1992;Taito Corporation;320;232;0
growl;Growl (World, Rev 1);1990;Taito Corporation Japan;320;224;0
grudge;Grudge Match (v00.90, Italy, location test?);198?;Bally Midway;256;240;0
gs4002;Selection (Version 40.02TMB, set 1);1982;Greyhound Electronics;416;224;0
gseeker;Grid Seeker: Project Storm Hammer (Ver 1.3O);1992;Taito Corporation Japan;320;224;90
gsfc200;FC-200 (MSX1);1983;Goldstar;280;216;0
gsfc80u;FC-80U (MSX1);1984;Goldstar;280;216;0
gslgr94u;Great Sluggers '94;1994;Namco;288;224;0
gslugrsj;Great Sluggers (Japan);1993;Namco;288;224;0
gstream;G-Stream G2020;2002;Oriental Soft Japan;320;240;270
gstrik2;Grand Striker 2 (Europe and Oceania);1996;Human Amusement;304;224;0
gstriker;Grand Striker (Europe, Oceania);1993;Human;320;224;0
gsword;Great Swordsman (World?);1984;Allumer / Taito Corporation;256;224;0
gt2k;Golden Tee 2K (v1.00);2000;Incredible Technologies;384;240;0
gt3d;Golden Tee 3D Golf (v1.93N);1995;Incredible Technologies;384;240;0
gt507uk;Trivia (UK Version 5.07);1986;Grayhound Electronics;416;224;0
gt97;Golden Tee '97 (v1.30);1997;Incredible Technologies;384;240;0
gt98;Golden Tee '98 (v1.10);1998;Incredible Technologies;384;240;0
gt99;Golden Tee '99 (v1.00);1999;Incredible Technologies;384;240;0
gtbmcx;Genius Tabletop Black Magic CX (Germany);2000;VTech;512;256;0
gtclassc;Golden Tee Classic (v1.00);2001;Incredible Technologies;384;240;0
gtg;Golden Tee Golf (Joystick, v3.3);1990;Strata/Incredible Technologies;256;240;0
gtg2;Golden Tee Golf II (Trackball, V2.2);1992;Strata/Incredible Technologies;256;240;0
gticlub;GTI Club (ver EAA);1996;Konami;512;384;0
gtipoker;GTI Poker;1983;GTI Inc;464;248;0
gtipokra;GTI Poker? (SMS hardware);1983;GTI Inc;464;248;0
gtmr;1000 Miglia: Great 1000 Miles Rally (Taiwan 94/07/18);1994;Kaneko;320;240;0
gtmr2;Mille Miglia 2: Great 1000 Miles Rally (95/05/24);1995;Kaneko;320;240;0
gtrak10;Gran Trak 10/Trak 10/Formula K [TTL];1974;Atari/Kee;451;521;0
gtrak20;Gran Trak 20/Trak 20/Twin Racer [TTL];1974;Atari/Kee;455;262;0
gtroppo;Gone Troppo (1VXEC542, New Zealand);1986;Ainsworth Nominees P.L.;304;216;0
gtsers1;Trivia (Questions Series 1);1984;Greyhound Electronics;416;224;0
gtsers8;Trivia (Questions Series 8);1984;Greyhound Electronics;416;224;0
guab;Give us a Break;1986;JPM;512;256;0
guardian;Guardians of the 'Hood;1992;Atari Games;336;240;0
gulfstrm;Gulf Storm (set 1);1991;Dooyong;384;240;270
gulfwar2;Gulf War II (set 1);1991;Comad;320;240;270
